,index,population,supermarket
193,080310002023019,38.0,1141.6
194,080310002023020,58.0,1045.9
195,080310002023021,36.0,986.8
196,080310002024002,69.0,1611.5
197,080310002024005,13.0,1715.6
198,080310002024006,58.0,1664.8
199,080310002024007,37.0,1550.9
200,080310002024008,35.0,1442.8
201,080310002024009,46.0,1343.8
202,080310002024010,55.0,1245.9
203,080310002024011,45.0,1143.6
204,080310002024012,74.0,1295.9
205,080310002024013,62.0,1394.2
206,080310002024014,60.0,1479.9
207,080310002024015,53.0,1419.2
208,080310002024016,45.0,1431.8
209,080310002024017,53.0,1525.6
210,080310002024018,63.0,1516.8
211,080310002024019,48.0,1420.6
212,080310003011000,71.0,910.6
213,080310003011001,67.0,810.6
214,080310003011002,61.0,710.7
215,080310003011003,50.0,611.5
216,080310003011004,54.0,735.0
217,080310003011005,46.0,833.7
218,080310003011006,51.0,933.1
219,080310003011008,66.0,919.6
220,080310003011009,51.0,933.9
221,080310003011010,61.0,1020.0
222,080310003011011,50.0,820.9
223,080310003011012,70.0,722.4
224,080310003011013,60.0,923.0
225,080310003011014,47.0,831.6
226,080310003011015,54.0,629.5
227,080310003012000,47.0,511.7
228,080310003012001,53.0,409.5
229,080310003012002,13.0,245.2
230,080310003012003,8.0,146.3
231,080310003012004,34.0,238.2
232,080310003012005,35.0,344.6
233,080310003012007,69.0,337.1
234,080310003012008,55.0,437.0
235,080310003012009,49.0,535.5
236,080310003012010,44.0,636.1
237,080310003012012,51.0,518.6
238,080310003012013,51.0,651.0
239,080310003012014,51.0,800.0
240,080310003012015,46.0,931.7
241,080310003012016,35.0,1011.9
242,080310003012017,66.0,914.2
243,080310003012018,47.0,792.5
244,080310003013000,19.0,103.7
245,080310003013001,49.0,274.6
246,080310003013002,29.0,396.3
247,080310003013003,39.0,460.0
248,080310003013004,88.0,378.7
249,080310003013005,39.0,255.6
250,080310003013006,39.0,331.7
251,080310003013007,60.0,622.5
252,080310003013008,49.0,615.6
253,080310003013009,58.0,580.6
254,080310003013010,37.0,625.8
255,080310003013011,35.0,688.5
256,080310003013012,67.0,524.4
257,080310003013013,59.0,603.5
258,080310003013014,61.0,522.8
259,080310003013015,64.0,722.4
260,080310003013016,54.0,804.1
261,080310003013017,25.0,760.1
262,080310003013018,31.0,524.1
263,080310003013019,14.0,604.5
264,080310003014000,37.0,492.9
265,080310003014001,28.0,598.4
266,080310003014002,18.0,694.5
267,080310003014003,57.0,702.1
268,080310003014004,88.0,736.1
269,080310003014005,51.0,535.3
270,080310003014006,24.0,478.7
271,080310003014007,34.0,598.8
272,080310003014008,49.0,662.5
273,080310003014009,48.0,556.7
274,080310003014010,40.0,646.1
275,080310003014011,40.0,539.5
276,080310003014012,61.0,443.1
277,080310003014013,49.0,376.2
278,080310003014014,54.0,483.0
279,080310003014015,237.0,474.5
280,080310003014016,38.0,323.8
281,080310003014017,22.0,226.8
282,080310003014018,63.0,145.2
283,080310003014019,49.0,300.5
284,080310003014020,61.0,334.2
285,080310003014021,77.0,228.3
286,080310003015000,64.0,832.0
287,080310003015001,51.0,822.5
288,080310003015002,49.0,858.1
289,080310003015003,46.0,946.2
290,080310003015004,40.0,851.9
291,080310003015005,42.0,752.4
292,080310003015006,65.0,550.8
293,080310003015007,49.0,651.3
294,080310003015008,44.0,745.4
295,080310003015009,56.0,657.7
296,080310003015010,54.0,622.0
297,080310003015011,55.0,631.9
298,080310003016000,55.0,432.5
299,080310003016001,65.0,420.7
300,080310003016002,58.0,457.0
301,080310003016003,64.0,544.5
302,080310003016004,53.0,449.8
303,080310003016005,49.0,349.1
304,080310003016006,44.0,203.4
305,080310003016007,47.0,303.6
306,080310003016008,55.0,344.4
307,080310003016009,50.0,440.7
308,080310003016010,47.0,221.4
309,080310003016011,47.0,241.4
310,080310003021000,67.0,560.7
311,080310003021001,57.0,460.0
312,080310003021002,60.0,357.6
313,080310003021003,28.0,262.2
314,080310003021004,58.0,461.2
315,080310003021005,17.0,488.8
316,080310003021006,15.0,584.3
317,080310003021007,63.0,760.6
318,080310003021008,42.0,590.1
319,080310003021009,55.0,684.7
320,080310003021010,75.0,861.4
321,080310003021012,73.0,663.8
322,080310003021013,67.0,761.6
323,080310003022000,78.0,1163.2
324,080310003022001,58.0,1063.4
325,080310003022002,73.0,963.8
326,080310003022003,49.0,865.0
327,080310003022004,72.0,1065.1
328,080310003022005,64.0,1164.3
329,080310003022006,73.0,1265.0
330,080310003022007,64.0,1365.3
331,080310003022008,20.0,1595.5
332,080310003022009,46.0,1466.0
