,id,dest_type,lon,lat
0,0,supermarket,-104.9155987089999,39.73721695800003
1,1,supermarket,-104.903531362,39.59637080400006
2,2,supermarket,-104.879034122,39.65183206700004
3,3,supermarket,-105.0806144759999,39.70872844500008
4,4,supermarket,-104.9207446139999,39.60766676400004
5,5,supermarket,-104.989458862,39.65574050700008
6,6,supermarket,-105.106292299,39.80318907400004
7,7,supermarket,-105.083416304,39.63628738800003
8,8,supermarket,-104.994769071,39.65616366600005
9,9,supermarket,-105.085095748,39.70944893600006
10,10,supermarket,-104.979896366,39.69600682500004
11,11,supermarket,-105.0214728609999,39.67757780000005
12,12,supermarket,-105.021166485,39.68010424500005
13,13,supermarket,-104.9013591039999,39.75654158700007
14,14,supermarket,-104.9887313149999,39.71060925600005
15,15,supermarket,-104.8976056179999,39.76798994700005
16,16,supermarket,-104.897289778,39.76963731400008
17,17,supermarket,-104.930562879,39.80871128600006
18,18,supermarket,-104.9280741159999,39.80452462000005
19,19,supermarket,-105.0273765909999,39.82978335500007
20,20,supermarket,-104.80847004,39.78609612100007
21,21,supermarket,-104.9368837219999,39.66672017000008
22,22,supermarket,-104.8504973839999,39.65985275200006
23,23,supermarket,-104.890508792,39.59640840100008
24,24,supermarket,-104.8887191759999,39.69027633400003
25,25,supermarket,-104.86838326,39.68621991000003
26,26,supermarket,-104.86803174,39.69586567500005
27,27,supermarket,-104.932615638,39.70800762000005
28,28,supermarket,-104.860912459,39.66723023900005
29,29,supermarket,-105.024056983,39.69250061800005
30,30,supermarket,-104.811936993,39.88773573000003
31,31,supermarket,-105.05639502,39.82528112600005
32,32,supermarket,-105.0560860319999,39.74486786900007
33,33,supermarket,-104.770092644,39.78532953500007
34,34,supermarket,-104.8237633539999,39.96957726900007
35,35,supermarket,-104.8160394069999,39.97037121600005
36,36,supermarket,-104.861786067,39.59055354000003
37,37,supermarket,-104.911662576,39.82905739200004
38,38,supermarket,-104.917693432,39.73759942500004
39,39,supermarket,-104.845381155,39.69595776700004
40,40,supermarket,-105.092266573,39.62311624700004
41,41,supermarket,-104.826155173,39.70200529700003
42,42,supermarket,-104.8473835999999,39.76005395000004
43,43,supermarket,-105.0794088279999,39.74270359400003
44,44,supermarket,-105.110293822,39.76770287300008
45,45,supermarket,-105.0797028,39.77125677100003
46,46,supermarket,-105.061190779,39.77924215900003
47,47,supermarket,-104.8014385449999,39.98790582700008
48,48,supermarket,-104.957796049,39.71865710300006
49,49,supermarket,-104.8665206909999,39.75950929100003
50,50,supermarket,-104.862798509,39.69505136100003
