,geoid10,population,supermarket
198,170310104003011,304.0,1297.3
199,170310104003012,20.0,1038.0
200,170310104003013,28.0,991.7
201,170310104003014,544.0,880.3
202,170310104003015,,625.3
203,170310105011000,161.0,1614.4
204,170310105011001,249.0,1466.0
205,170310105011002,172.0,1439.3
206,170310105011003,289.0,1506.8
207,170310105012000,178.0,1505.9
208,170310105012001,145.0,1537.3
209,170310105012002,182.0,1495.3
210,170310105012003,91.0,1563.2
211,170310105012004,200.0,1618.0
212,170310105012005,608.0,1622.2
213,170310105012006,206.0,1635.8
214,170310105012007,218.0,1560.4
215,170310105012008,69.0,1549.4
216,170310105013000,260.0,1507.3
217,170310105013001,119.0,1481.5
218,170310105013002,82.0,1433.8
219,170310105013003,214.0,1378.3
220,170310105013004,130.0,1294.8
221,170310105013005,76.0,1167.0
222,170310105013006,72.0,1219.0
223,170310105013007,164.0,1274.4
224,170310105013008,55.0,1307.0
225,170310105013009,74.0,1296.8
226,170310105013010,77.0,1238.0
227,170310105021000,241.0,1071.6
228,170310105021001,84.0,990.2
229,170310105021002,62.0,908.0
230,170310105021003,53.0,930.1
231,170310105021004,140.0,723.0
232,170310105021005,135.0,988.0
233,170310105021006,233.0,987.5
234,170310105021007,83.0,741.1
235,170310105021008,81.0,675.8
236,170310105021009,74.0,670.0
237,170310105021010,,754.9
238,170310105021011,,808.3
239,170310105021012,148.0,944.7
240,170310105022000,392.0,1369.4
241,170310105022001,227.0,1176.9
242,170310105022002,149.0,1192.6
243,170310105022003,138.0,1139.1
244,170310105022004,96.0,1084.2
245,170310105022005,204.0,1032.8
246,170310105022006,70.0,998.4
247,170310105022007,149.0,1097.9
248,170310105022008,110.0,1238.9
249,170310105022009,146.0,1043.4
250,170310105022010,86.0,1018.8
251,170310105031000,155.0,731.4
252,170310105031001,15.0,711.9
253,170310105031002,73.0,545.7
254,170310105031003,41.0,444.3
255,170310105031004,57.0,424.3
256,170310105031005,101.0,344.2
257,170310105031006,490.0,540.4
258,170310105031007,47.0,611.9
259,170310105031008,66.0,608.1
260,170310105031009,71.0,557.5
261,170310105031010,83.0,507.1
262,170310105031011,84.0,456.5
263,170310105031012,,406.3
264,170310105031013,84.0,362.6
265,170310105031014,47.0,269.2
266,170310105031015,52.0,335.9
267,170310105031016,16.0,437.1
268,170310105032000,,879.9
269,170310105032001,,998.3
270,170310105032002,,773.3
271,170310105032003,74.0,786.4
272,170310105032004,73.0,624.4
273,170310105032005,60.0,575.4
274,170310105032006,169.0,560.0
275,170310105032007,227.0,648.4
276,170310105032008,,786.7
277,170310105032009,105.0,680.4
278,170310105032010,,749.0
279,170310105032011,71.0,599.2
280,170310105032012,29.0,414.8
281,170310106001000,,1121.7
282,170310106001001,,1085.2
283,170310106001002,,945.4
284,170310106001003,215.0,1002.1
285,170310106001004,166.0,1137.0
286,170310106001005,94.0,1122.9
287,170310106001006,135.0,1179.2
288,170310106001007,73.0,1136.8
289,170310106001008,104.0,978.8
290,170310106001009,273.0,885.8
291,170310106001010,160.0,804.5
292,170310106001011,82.0,923.6
293,170310106001012,45.0,825.3
294,170310106001013,26.0,727.5
295,170310106001014,78.0,794.7
296,170310106001015,52.0,927.6
297,170310106001016,72.0,848.5
298,170310106001017,45.0,848.5
299,170310106001018,20.0,716.7
300,170310106001019,113.0,769.9
301,170310106001020,91.0,651.9
302,170310106001021,47.0,667.8
303,170310106001022,,993.6
304,170310106002000,,1455.0
305,170310106002001,187.0,1358.9
306,170310106002002,59.0,1136.8
307,170310106002003,64.0,1199.8
308,170310106002004,70.0,1361.0
309,170310106002005,292.0,1421.0
310,170310106002006,180.0,1479.9
311,170310106002007,,1491.5
312,170310106002008,,1525.1
313,170310106003000,163.0,541.0
314,170310106003001,183.0,541.3
315,170310106003002,136.0,491.3
316,170310106003003,157.0,525.1
317,170310106003004,119.0,272.4
318,170310106003005,102.0,288.4
319,170310106003006,149.0,338.5
320,170310106003007,256.0,391.3
321,170310106003008,145.0,290.0
322,170310106003009,213.0,85.0
323,170310106003010,111.0,110.6
324,170310106003011,164.0,94.6
325,170310106003012,,125.9
326,170310106004000,,1389.2
327,170310106004001,,1358.5
328,170310106004002,118.0,1407.7
329,170310106004003,9.0,1372.0
330,170310106004004,44.0,1467.4
331,170310106004005,,1356.5
332,170310106004006,,1221.8
333,170310106004007,231.0,1272.6
334,170310106004008,101.0,1339.9
335,170310106004009,130.0,1258.2
336,170310106004010,199.0,1314.4
337,170310106004011,145.0,1235.6
338,170310106004012,46.0,1218.3
339,170310106004013,90.0,1231.4
340,170310106004014,343.0,1191.1
341,170310107011000,,1140.4
342,170310107011001,47.0,979.8
343,170310107011002,196.0,966.7
344,170310107011003,43.0,775.6
345,170310107011004,188.0,1049.3
346,170310107011005,41.0,912.7
347,170310107011006,,1005.7
348,170310107011007,,869.6
349,170310107011008,63.0,778.4
350,170310107011009,237.0,845.7
351,170310107011010,115.0,806.6
352,170310107011011,94.0,718.8
353,170310107011012,59.0,887.6
354,170310107011013,45.0,707.2
355,170310107011014,112.0,596.0
356,170310107011015,44.0,633.4
357,170310107011016,243.0,611.0
358,170310107011017,109.0,617.4
359,170310107012000,257.0,997.4
360,170310107012001,148.0,972.2
361,170310107012002,120.0,1080.2
362,170310107012003,230.0,1144.3
363,170310107012004,124.0,1143.4
364,170310107012005,125.0,1114.2
365,170310107012006,123.0,1046.8
366,170310107012007,148.0,1072.4
367,170310107012008,36.0,1189.4
368,170310107012009,64.0,1137.7
369,170310107012010,237.0,1204.1
370,170310107012011,46.0,1148.5
371,170310107012012,54.0,1181.3
372,170310107012013,88.0,1109.7
373,170310107012014,22.0,1117.3
374,170310107012015,194.0,917.7
375,170310107012016,41.0,1040.4
376,170310107012017,68.0,1080.9
377,170310107012018,103.0,1047.3
378,170310107021000,176.0,1141.5
379,170310107021001,132.0,939.2
380,170310107021002,10.0,947.0
381,170310107021003,84.0,1002.8
382,170310107021004,70.0,1067.3
383,170310107021005,223.0,1198.2
384,170310107021006,295.0,1277.6
385,170310107021007,81.0,1127.8
386,170310107021008,22.0,1064.6
387,170310107021009,11.0,1080.4
388,170310107021010,13.0,1101.6
389,170310107021011,207.0,1191.4
390,170310107021012,248.0,1288.6
391,170310107022000,257.0,1315.9
392,170310107022001,123.0,1356.8
393,170310107022002,2.0,1296.3
394,170310107022003,78.0,1217.1
395,170310107022004,89.0,1216.9
396,170310107022005,,1202.6
397,170310107022006,6.0,1141.2
398,170310107022007,41.0,1079.2
399,170310107022008,282.0,1357.2
400,170310107022009,204.0,1361.5
401,170310107023000,83.0,1274.6
402,170310107023001,337.0,1315.9
403,170310107023002,66.0,1126.3
404,170310107023003,107.0,1017.1
405,170310107023004,103.0,956.4
406,170310107023005,7.0,1087.2
407,170310107023006,265.0,1185.6
408,170310107023007,158.0,1044.5
409,170310107023008,416.0,1109.5
410,170310107023009,69.0,890.0
411,170310107024000,235.0,1020.4
412,170310107024001,120.0,808.1
413,170310107024002,105.0,768.4
414,170310107024003,63.0,814.1
415,170310107024004,201.0,1130.6
