,id,dest_type,lon,lat
0,0,supermarket,-122.654135183,45.53471099900003
1,1,supermarket,-122.634911107,45.53297988000003
2,2,supermarket,-122.674513307,45.56025928600008
3,3,supermarket,-122.6495325719999,45.55892611200005
4,4,supermarket,-122.6446471,45.55892785000003
5,5,supermarket,-122.681742233,45.56885110300004
6,6,supermarket,-122.651378372,45.54900438800007
7,7,supermarket,-122.623690654,45.51252203500007
8,8,supermarket,-122.646223648,45.50437247800005
9,9,supermarket,-122.6367859539999,45.52326310700005
10,10,supermarket,-122.630163422,45.56122756100007
11,11,supermarket,-122.69282336,45.52392896000003
12,12,supermarket,-122.67937503,45.59552825800006
13,13,supermarket,-122.512103017,45.50292699000005
14,14,supermarket,-122.690436016,45.47062505600007
15,15,supermarket,-122.66202233,45.41579343600006
16,16,supermarket,-122.5622071179999,45.62395022500004
17,17,supermarket,-122.7536189309999,45.43529991400004
18,18,supermarket,-122.681011868,45.57587241100003
19,19,supermarket,-122.556248781,45.61949894200006
20,20,supermarket,-122.574823457,45.49123147600005
21,21,supermarket,-122.812794439,45.49434270400008
22,22,supermarket,-122.802261335,45.48821207400005
23,23,supermarket,-122.784807384,45.48558411800008
24,24,supermarket,-122.620810682,45.53469319500005
25,25,supermarket,-122.5390684549999,45.50280019500008
26,26,supermarket,-122.539247277,45.49625598600005
27,27,supermarket,-122.6174162189999,45.53576411400007
28,28,supermarket,-122.560308918,45.53065078200007
29,29,supermarket,-122.5563595849999,45.53115709500003
30,30,supermarket,-122.752062379,45.44123774700006
31,31,supermarket,-122.756021044,45.48536781900003
32,32,supermarket,-122.577479961,45.48381683000008
33,33,supermarket,-122.581152759,45.45847532300007
34,34,supermarket,-122.580662,45.45598030000008
35,35,supermarket,-122.577743133,45.44374268700005
36,36,supermarket,-122.623587682,45.48886436500004
37,37,supermarket,-122.595865142,45.52757183700004
38,38,supermarket,-122.580069709,45.52185766800005
39,39,supermarket,-122.66664872,45.64852898000004
40,40,supermarket,-122.531195136,45.61674603100005
41,41,supermarket,-122.6028806099999,45.62607528800004
42,42,supermarket,-122.6951005989999,45.52607196600007
43,43,supermarket,-122.698689611,45.46581394900005
44,44,supermarket,-122.660122367,45.56597345300003
45,45,supermarket,-122.637447661,45.51169575500006
46,46,supermarket,-122.684792578,45.51577209200008
47,47,supermarket,-122.753220088,45.58775291200004
48,48,supermarket,-122.621998492,45.49692641800004
49,49,supermarket,-122.8144298719999,45.52797145000005
50,50,supermarket,-122.615940783,45.47993993000006
51,51,supermarket,-122.5385303369999,45.52452506400004
52,52,supermarket,-122.592719376,45.54766727800006
53,53,supermarket,-122.59077962,45.41567178300005
54,54,supermarket,-122.618225579,45.44697052100003
55,55,supermarket,-122.668487533,45.42085319200004
56,56,supermarket,-122.476796467,45.48906283500003
57,57,supermarket,-122.501469905,45.60583936400008
58,58,supermarket,-122.794841446,45.49113916900006
59,59,supermarket,-122.620728492,45.51181753800006
60,60,supermarket,-122.700408542,45.53569959700008
61,61,supermarket,-122.696168595,45.53377590700006
62,62,supermarket,-122.732350101,45.48785955900007
63,63,supermarket,-122.809435891,45.49469217100005
64,64,supermarket,-122.6536973889999,45.46398292800006
65,65,supermarket,-122.679844912,45.52492117500003
66,66,supermarket,-122.606365166,45.52253157300004
67,67,supermarket,-122.644901458,45.50080587300005
68,68,supermarket,-122.476298404,45.59483928600008
69,69,supermarket,-122.499825604,45.42842587700005
70,70,supermarket,-122.602741921,45.55432971500005
71,71,supermarket,-122.66731924,45.54800779500005
72,72,supermarket,-122.8663377029999,45.55922927000006
73,73,supermarket,-122.630464424,45.51666819100006
74,74,supermarket,-122.536958402,45.61785435400003
75,75,supermarket,-122.5317975569999,45.62932509800004
