,index,population,supermarket
193,482012105002021,26.0,1236.8
194,482012105002022,13.0,1425.9
195,482012105002023,44.0,1514.6
196,482012105002024,59.0,1614.8
197,482012105002026,19.0,1894.6
198,482012105002027,23.0,1896.9
199,482012105002028,15.0,1987.8
200,482012105002029,19.0,1891.7
201,482012105002030,16.0,1891.1
202,482012105002031,27.0,1894.8
203,482012105002032,19.0,2008.3
204,482012105002033,7.0,1914.6
205,482012105002034,2.0,1849.4
206,482012105002035,33.0,1746.6
207,482012105002036,31.0,1704.7
208,482012105002037,34.0,1609.6
209,482012105002038,34.0,1514.1
210,482012105002039,20.0,1425.2
211,482012105002040,39.0,1332.1
212,482012105002041,43.0,1426.3
213,482012105002042,59.0,1519.7
214,482012105002043,46.0,1608.7
215,482012105002044,34.0,1703.3
216,482012105002045,23.0,1705.9
217,482012105002046,28.0,1727.3
218,482012105002047,2.0,1913.0
219,482012105002048,5.0,1945.3
220,482012105002049,17.0,2008.2
221,482012105002050,20.0,2054.6
222,482012105002051,10.0,1864.9
223,482012105002052,5.0,1865.7
224,482012105002053,26.0,1772.9
225,482012105002054,39.0,1677.7
226,482012105002055,47.0,1718.4
227,482012105002057,26.0,1865.0
228,482012105002058,76.0,1959.4
229,482012105002060,11.0,1770.4
230,482012105002061,23.0,1677.7
231,482012105002062,40.0,1583.9
232,482012105002063,11.0,1676.8
233,482012105002064,37.0,1583.8
234,482012105002067,31.0,1489.7
235,482012105002069,32.0,1678.4
236,482012105002071,28.0,1800.2
237,482012105002072,30.0,1612.4
238,482012105002073,20.0,1519.6
239,482012105003001,61.0,578.2
240,482012105003002,9.0,551.2
241,482012105003009,25.0,2914.2
242,482012105003010,17.0,1405.4
243,482012105003011,30.0,1314.1
244,482012105003012,52.0,580.9
245,482012105003014,115.0,498.2
246,482012105003015,26.0,314.1
247,482012105003016,38.0,791.6
248,482012105003017,17.0,541.0
249,482012105003018,146.0,1080.7
250,482012105003021,1.0,1123.9
251,482012105003022,36.0,845.7
252,482012105003027,15.0,1172.7
253,482012105003028,26.0,1113.2
254,482012105003030,27.0,1016.9
255,482012105003031,59.0,931.7
256,482012105003032,24.0,1160.4
257,482012105003033,47.0,1202.3
258,482012105003034,64.0,1479.0
259,482012105003035,57.0,1329.7
260,482012105003036,26.0,1477.4
261,482012105003037,30.0,1629.9
262,482012105003038,27.0,1586.6
263,482012105003039,46.0,1498.0
264,482012105003040,35.0,1460.7
265,482012105003041,41.0,1334.1
266,482012105003042,77.0,1245.4
267,482012105003044,102.0,1304.1
268,482012105003045,184.0,1274.2
269,482012105003046,58.0,1312.0
270,482012105003047,31.0,1405.3
271,482012105003048,35.0,1493.9
272,482012105003049,25.0,1399.8
273,482012105003050,7.0,1305.4
274,482012105003051,29.0,1218.1
275,482012106001000,45.0,2041.9
276,482012106001001,75.0,1961.8
277,482012106001002,53.0,2014.8
278,482012106001003,61.0,2224.3
279,482012106001004,48.0,1965.6
280,482012106001005,65.0,1959.9
281,482012106001006,78.0,1879.4
282,482012106001007,115.0,1920.2
283,482012106001012,186.0,1779.6
284,482012106001013,67.0,1714.3
285,482012106001014,66.0,1624.6
286,482012106002000,28.0,2422.4
287,482012106002003,32.0,2039.7
288,482012106002004,66.0,1956.3
289,482012106002006,82.0,2340.5
290,482012106002007,92.0,2257.5
291,482012106002009,79.0,1873.0
292,482012106002010,65.0,1872.5
293,482012106002012,66.0,2256.8
294,482012106002013,74.0,2092.5
295,482012106002014,1.0,1958.9
296,482012106002015,69.0,1707.9
297,482012106002016,73.0,1624.4
298,482012106002018,98.0,2009.4
299,482012106002019,50.0,1926.9
300,482012106002020,6.0,1793.3
301,482012106002021,65.0,1541.8
302,482012106002022,75.0,1541.2
303,482012106002023,24.0,1710.2
304,482012106002024,59.0,1844.1
305,482012106002025,49.0,1760.8
306,482012106002026,23.0,1627.1
307,482012106002027,67.0,1458.8
308,482012106003000,67.0,1677.8
309,482012106003001,9.0,1544.1
310,482012106003002,97.0,1293.7
311,482012106003003,115.0,1209.0
312,482012106003005,72.0,1596.7
313,482012106003006,85.0,1534.2
314,482012106003008,87.0,1142.0
315,482012106003009,90.0,1067.4
316,482012106003011,97.0,1462.2
317,482012106003012,30.0,1507.6
318,482012106003013,27.0,1419.7
