,geoid10,population,supermarket
206,245100105001007,55.0,756.5
207,245100105001008,82.0,664.7
208,245100105001009,106.0,671.8
209,245100105001010,89.0,367.7
210,245100105001011,122.0,420.8
211,245100105002000,135.0,542.5
212,245100105002001,108.0,541.1
213,245100105002002,24.0,460.2
214,245100105002003,80.0,543.6
215,245100105002004,61.0,507.2
216,245100105002005,94.0,417.6
217,245100105002006,30.0,415.1
218,245100105002007,11.0,354.1
219,245100105002008,81.0,435.7
220,245100105002009,44.0,385.1
221,245100105002010,43.0,332.0
222,245100105002011,38.0,319.5
223,245100105002012,14.0,315.5
224,245100105002013,32.0,376.2
225,245100105002014,47.0,346.8
226,245100105002015,36.0,285.9
227,245100201001000,86.0,645.7
228,245100201001001,23.0,566.9
229,245100201001002,111.0,436.8
230,245100201001003,,355.5
231,245100201001004,114.0,229.0
232,245100201001005,94.0,283.8
233,245100201001006,97.0,399.3
234,245100201001007,100.0,490.8
235,245100201001008,101.0,430.7
236,245100201002000,162.0,299.4
237,245100201002001,144.0,216.8
238,245100201002002,116.0,161.9
239,245100201002003,88.0,76.0
240,245100201002004,89.0,70.0
241,245100201002005,101.0,126.0
242,245100201002006,47.0,166.1
243,245100201002007,96.0,270.8
244,245100201002008,56.0,211.3
245,245100201002009,63.0,165.2
246,245100201002010,32.0,153.0
247,245100201002011,71.0,181.6
248,245100201002012,41.0,86.6
249,245100201002013,44.0,80.5
250,245100201002014,8.0,286.8
251,245100202001000,86.0,406.4
252,245100202001001,106.0,462.8
253,245100202001002,90.0,527.0
254,245100202001003,44.0,664.7
255,245100202001004,124.0,284.2
256,245100202001005,128.0,341.8
257,245100202001006,98.0,416.7
258,245100202001007,108.0,449.9
259,245100202001008,62.0,616.3
260,245100202001009,56.0,569.6
261,245100202002000,149.0,164.9
262,245100202002001,130.0,222.2
263,245100202002002,185.0,296.8
264,245100202002003,126.0,393.3
265,245100202002004,40.0,357.5
266,245100202002005,79.0,223.8
267,245100202002006,66.0,184.7
268,245100202002007,75.0,125.9
269,245100202002008,79.0,236.8
270,245100202002009,70.0,295.8
271,245100202002010,105.0,325.7
272,245100202002011,32.0,427.8
273,245100202002012,49.0,390.6
274,245100203001000,195.0,160.0
275,245100203001001,20.0,58.0
276,245100203001002,77.0,123.1
277,245100203001003,44.0,177.3
278,245100203001004,59.0,229.9
279,245100203001005,62.0,288.4
280,245100203001006,83.0,352.6
281,245100203001007,13.0,462.2
282,245100203001008,,569.4
283,245100203001009,9.0,471.5
284,245100203001010,102.0,469.7
285,245100203001011,145.0,422.8
286,245100203001012,47.0,320.2
287,245100203001013,113.0,210.0
288,245100203001014,44.0,141.1
289,245100203001015,59.0,188.7
290,245100203001016,24.0,230.0
291,245100203001017,,313.8
292,245100203001018,45.0,234.1
293,245100203002000,65.0,595.2
294,245100203002001,64.0,512.3
295,245100203002002,40.0,451.7
296,245100203002003,21.0,388.5
297,245100203002004,,377.3
298,245100203002005,,178.8
299,245100203002006,,263.1
300,245100203002007,,255.9
301,245100203002008,,318.4
302,245100203002009,,384.9
303,245100203002010,9.0,508.5
304,245100203002011,11.0,507.8
305,245100203002012,19.0,583.5
306,245100203002013,44.0,693.7
307,245100203002014,118.0,577.5
308,245100203002015,59.0,515.4
309,245100203002016,,454.8
310,245100203002017,65.0,454.8
311,245100203002018,247.0,325.3
312,245100203002019,,246.9
313,245100203002020,,227.3
