,id,dest_type,lon,lat
0,0,supermarket,-89.38493188099994,30.30627131600005
1,1,supermarket,-90.26806982599999,30.02499892400004
2,2,supermarket,-90.23963853999999,30.02188697400004
3,3,supermarket,-90.09652972399994,29.97635859600007
4,4,supermarket,-90.11685108699999,29.91605304600006
5,5,supermarket,-90.11766332099995,29.92077880700003
6,6,supermarket,-90.07016840499995,29.92515829000007
7,7,supermarket,-90.08783306999999,29.92419218000003
8,8,supermarket,-90.12057803799996,29.95717743800003
9,9,supermarket,-90.06558120299997,29.97205831800005
10,10,supermarket,-89.82889195599995,30.30815333200007
11,11,supermarket,-90.04313160299995,30.41087696000005
12,12,supermarket,-90.08436328099998,30.47438989200003
13,13,supermarket,-90.05378850199997,29.91342304300002
14,14,supermarket,-90.22069544099998,30.01143968000002
15,15,supermarket,-89.37306995499995,30.37493573700004
16,16,supermarket,-90.20563086999994,29.90889308500005
17,17,supermarket,-89.98393211099994,29.95904681500008
18,18,supermarket,-90.15190395599996,30.00450843800007
19,19,supermarket,-90.23994054899998,29.99481264500002
20,20,supermarket,-90.22923244699996,30.00360430300003
21,21,supermarket,-90.19730995599997,29.97806435600006
22,22,supermarket,-90.05731450599995,29.89538654500006
23,23,supermarket,-90.17951331099994,29.94953090000007
24,24,supermarket,-90.10309171299997,29.91648099000003
25,25,supermarket,-90.36229546599998,29.98597462100003
26,26,supermarket,-90.15892238499998,30.00186978100004
27,27,supermarket,-90.17803773999998,29.98168546400007
28,28,supermarket,-90.12054069999994,29.95712140000006
29,29,supermarket,-90.09593139999998,29.94255860000004
30,30,supermarket,-89.96265359999995,29.95013150000005
31,31,supermarket,-89.77953929999995,30.28908580000007
32,32,supermarket,-90.08451069999995,29.98058270000007
33,33,supermarket,-90.10739659999996,29.92440360000006
34,34,supermarket,-90.08513159999995,29.98059780000006
35,35,supermarket,-90.08789949999993,29.92349990000002
36,36,supermarket,-89.72060879999998,30.28960100000006
37,37,supermarket,-90.08847339999994,29.96389610000006
38,38,supermarket,-90.04723919999998,29.97638190000004
39,39,supermarket,-90.07417029999993,29.94772320000004
40,40,supermarket,-89.92905599999995,30.03212330000002
41,41,supermarket,-90.01766689999994,29.89075890000004
42,42,supermarket,-90.11675689999998,29.92664740000004
43,43,supermarket,-90.05985109999995,30.01221770000006
44,44,supermarket,-90.03283089999996,29.88799610000007
45,45,supermarket,-90.08846839999995,29.96933420000005
46,46,supermarket,-89.74697149999997,30.30906920000007
47,47,supermarket,-89.76207339999996,30.29790930000007
48,48,supermarket,-89.74904359999994,30.27888050000007
49,49,supermarket,-89.78404059999997,30.26198200000005
50,50,supermarket,-90.05125469999996,29.95078400000006
51,51,supermarket,-89.75304549999998,30.28613070000006
52,52,supermarket,-89.74835729999995,30.35846660000004
53,53,supermarket,-90.01186079999997,29.92359930000003
54,54,supermarket,-90.08449329999996,29.96718000000004
55,55,supermarket,-90.05587849999995,29.96850070000005
56,56,supermarket,-90.05031229999997,29.96447550000005
57,57,supermarket,-90.06939929999999,29.92524480000003
58,58,supermarket,-90.06989179999994,29.92581890000002
59,59,supermarket,-90.19557039999995,30.00510210000004
60,60,supermarket,-90.19592439999997,30.00683950000007
61,61,supermarket,-90.06478539999995,29.95808240000002
62,62,supermarket,-90.07729789999996,30.37245010000004
63,63,supermarket,-90.05237759999994,29.96826250000004
64,64,supermarket,-90.05306899999994,29.90374220000007
65,65,supermarket,-90.09330599999998,29.87864000000008
66,66,supermarket,-90.04501299999998,29.86168800000007
67,67,supermarket,-90.07875799999994,30.44328400000006
68,68,supermarket,-89.92423399999996,29.93413800000008
69,69,supermarket,-90.23760799999997,30.02040300000004
70,70,supermarket,-90.03791399999994,30.00560400000006
71,71,supermarket,-90.08472759999995,30.47207760000003
72,72,supermarket,-90.37236899999994,29.90467800000005
73,73,supermarket,-90.02047699999997,29.91130200000003
74,74,supermarket,-89.78399299999995,30.26077900000007
75,75,supermarket,-90.06154449999997,29.96469920000004
76,76,supermarket,-90.23788209999998,30.01809150000003
77,77,supermarket,-90.11277709999996,30.02118790000003
78,78,supermarket,-90.11145339999996,30.02050780000008
79,79,supermarket,-90.38444079999994,29.90140660000003
80,80,supermarket,-90.20588359999994,29.97823790000007
81,81,supermarket,-90.23841989999994,30.02499120000004
82,82,supermarket,-90.23974689999994,30.02930250000003
