,index,population,supermarket
193,530330003002031,42.0,587.4
194,530330004011000,11.0,457.8
195,530330004011001,438.0,718.0
196,530330004011002,53.0,1155.4
197,530330004011003,52.0,1244.2
198,530330004011004,101.0,1294.7
199,530330004011005,874.0,1566.8
200,530330004011006,411.0,428.0
201,530330004011007,2.0,165.8
202,530330004011008,289.0,370.6
203,530330004011009,611.0,204.9
204,530330004012000,43.0,1358.5
205,530330004012001,29.0,1558.4
206,530330004012002,63.0,1633.6
207,530330004012003,34.0,1434.3
208,530330004012004,97.0,1333.4
209,530330004012005,37.0,1366.7
210,530330004012006,39.0,1453.8
211,530330004012007,38.0,1550.6
212,530330004012008,48.0,1598.0
213,530330004012009,45.0,1450.8
214,530330004012010,25.0,1405.9
215,530330004012011,32.0,1286.8
216,530330004012012,74.0,1295.3
217,530330004012013,29.0,1198.9
218,530330004012014,15.0,1400.3
219,530330004012015,37.0,1458.7
220,530330004012016,638.0,1325.1
221,530330004012017,119.0,1468.8
222,530330004013000,1187.0,1328.3
223,530330004013002,80.0,1174.7
224,530330004021000,89.0,645.3
225,530330004021001,27.0,743.3
226,530330004021002,36.0,841.9
227,530330004021003,191.0,1018.4
228,530330004021004,93.0,974.1
229,530330004021005,247.0,1329.4
230,530330004021006,70.0,1283.1
231,530330004021007,19.0,1300.5
232,530330004021008,35.0,1344.2
233,530330004021009,48.0,1243.2
234,530330004021010,43.0,1143.6
235,530330004021011,45.0,945.2
236,530330004021012,56.0,945.7
237,530330004021013,62.0,847.9
238,530330004021014,160.0,1201.7
239,530330004022000,9.0,597.8
240,530330004022001,88.0,381.0
241,530330004022002,130.0,518.1
242,530330004022003,25.0,506.1
243,530330004022004,23.0,726.1
244,530330004022005,27.0,762.7
245,530330004022006,31.0,964.6
246,530330004022007,61.0,1123.4
247,530330004022008,25.0,1166.3
248,530330004022009,48.0,1367.9
249,530330004022010,43.0,1569.5
250,530330004022011,197.0,1366.0
251,530330004022012,48.0,965.5
252,530330004022013,50.0,867.4
253,530330004022014,90.0,927.4
254,530330004022015,35.0,1066.3
255,530330004022016,7.0,1240.8
256,530330004023000,56.0,1452.8
257,530330004023001,36.0,1552.6
258,530330004023002,31.0,1624.6
259,530330004023003,166.0,1748.6
260,530330004023004,165.0,1767.9
261,530330004023005,27.0,1913.2
262,530330004023006,35.0,1901.3
263,530330004023007,38.0,1830.8
264,530330004023008,46.0,1730.4
265,530330004023009,36.0,1729.5
266,530330004023010,36.0,1752.9
267,530330004023011,29.0,1832.7
268,530330004023012,29.0,1781.7
269,530330004023013,180.0,1814.0
270,530330004023014,150.0,1756.4
271,530330004023015,15.0,1816.9
272,530330004023016,66.0,1754.7
273,530330004023017,42.0,1654.9
274,530330004023018,11.0,1685.5
275,530330004024000,43.0,1049.5
276,530330004024001,39.0,1149.7
277,530330004024002,45.0,1245.1
278,530330004024003,94.0,1345.3
279,530330004024004,23.0,1385.9
280,530330004024005,567.0,1213.5
281,530330004024006,56.0,1395.4
282,530330004024007,41.0,1546.0
283,530330004024008,59.0,1697.8
284,530330004024009,56.0,1597.7
285,530330004024010,41.0,1445.6
286,530330004024011,55.0,1699.4
287,530330004024012,43.0,1816.8
288,530330004024013,12.0,1377.1
289,530330004024014,46.0,1351.1
290,530330004024015,52.0,1251.6
291,530330004024016,66.0,1547.3
292,530330004024017,55.0,1447.2
293,530330004024018,47.0,1744.4
294,530330004024019,49.0,1845.6
295,530330005001000,199.0,2979.1
296,530330005001001,4.0,2376.8
297,530330005001003,215.0,2228.4
298,530330005001004,37.0,2118.4
299,530330005001005,35.0,2353.6
300,530330005001006,38.0,2016.6
301,530330005001007,50.0,2300.8
302,530330005001008,24.0,2662.5
303,530330005001009,20.0,2620.6
304,530330005001010,1.0,2413.0
305,530330005001013,231.0,3086.0
306,530330005001014,25.0,3212.2
307,530330005001015,210.0,1842.3
308,530330005001016,2.0,1753.7
309,530330005001017,29.0,1696.2
310,530330005001018,37.0,2001.6
311,530330005001019,37.0,2101.9
312,530330005001020,42.0,2254.0
313,530330005002000,40.0,1451.9
314,530330005002001,42.0,1551.1
315,530330005002002,85.0,1984.7
316,530330005002003,38.0,1912.9
317,530330005002004,47.0,1952.1
318,530330005002005,31.0,1954.2
319,530330005002006,50.0,1818.6
320,530330005002007,52.0,1749.4
321,530330005002008,43.0,1496.2
322,530330005002009,47.0,1446.8
323,530330005002010,19.0,1648.3
324,530330005002011,24.0,1545.3
325,530330005002012,57.0,1801.2
326,530330005002013,49.0,1903.1
327,530330005002014,42.0,2056.5
328,530330005002015,42.0,2231.4
329,530330005002016,42.0,2200.7
330,530330005002017,53.0,2124.8
331,530330005002018,37.0,2028.6
332,530330005002019,37.0,1934.4
333,530330005003000,48.0,2001.6
334,530330005003001,48.0,2098.3
335,530330005003002,39.0,2253.2
336,530330005003003,42.0,2353.3
337,530330005003004,42.0,2562.3
338,530330005003005,20.0,2461.8
339,530330005003006,58.0,2361.3
340,530330005003007,37.0,2155.9
341,530330005003008,48.0,2305.9
342,530330005003009,83.0,2505.2
343,530330005003010,52.0,2679.2
344,530330005003011,49.0,2853.0
345,530330005003012,30.0,2269.4
346,530330005003013,77.0,2353.6
347,530330005003014,37.0,1781.1
348,530330005003015,280.0,1508.7
349,530330005003016,27.0,1951.3
350,530330005003017,21.0,2424.2
351,530330005003018,14.0,1155.6
352,530330006001000,81.0,986.6
353,530330006001001,64.0,885.0
354,530330006001002,55.0,784.3
355,530330006001003,64.0,784.1
356,530330006001004,113.0,275.5
357,530330006001005,87.0,1127.0
358,530330006001006,10.0,1291.8
359,530330006001007,146.0,1369.6
360,530330006001008,45.0,1260.0
361,530330006001009,31.0,1210.4
362,530330006001010,56.0,591.6
363,530330006001011,19.0,1097.7
364,530330006001012,85.0,975.9
365,530330006001013,77.0,1402.0
366,530330006001014,81.0,1550.1
367,530330006001015,27.0,1579.5
368,530330006001017,36.0,1693.0
